track	layer	comparison	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	32	finance_consequence_minus_finance_neutral	5	220	0.012371110431260601	0.012371110431260601	0.140625	0.08797234084451983	0.0	0.0	0.0	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	6	102	0.009893063419556751	0.019859321413166407	0.138671875	0.14321088117663663	0.009966257993609656	0.08203125	0.12149343077924152	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	7	139	0.007844500128824448	0.013263976619614818	0.09765625	0.13582312058485574	0.00541947649079037	0.044921875	0.12064225927324648	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	8	77	0.0070609987527428504	0.012051831943099688	0.10546875	0.11426922138642667	0.004990833190356837	0.05078125	0.09828102282548848	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	9	96	0.006941594233549203	0.018840866840522847	0.1328125	0.14186064444628968	0.011899272606973644	0.068359375	0.17406935927915732	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	10	81	0.006617132838842269	0.006725711461117946	0.08203125	0.08198962543077115	0.0001085786222756771	0.001953125	0.055592254605146676	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	11	223	0.005951318518563889	0.012167626520913459	0.076171875	0.15973909688994078	0.0062163080023495704	0.03515625	0.17681942762238778	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	12	186	0.005932784774023404	0.018795787596623037	0.142578125	0.13182798971878076	0.012863002822599633	0.08984375	0.14317081402545678	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	13	86	0.00589661954230245	0.016361050300730158	0.119140625	0.13732553695039085	0.010464430758427708	0.08203125	0.12756639400749967	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	14	201	0.0051413777373683165	0.01006292966027246	0.103515625	0.09721169785017923	0.0049215519229041434	0.0546875	0.08999409230453291	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	15	248	0.005106141992616078	0.00596901353616921	0.037109375	0.16084920686940188	0.0008628715435531328	0.0078125	0.110447557574801	512	512
