track	layer	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
prefill	0	consequence	236	0.02020746190236135	0.09722222222222222	0.2078481795671453	12	0.041666666666666664	288
prefill	0	consequence	81	0.019765460839165496	0.1076388888888889	0.18362750715095685	15	0.052083333333333336	288
prefill	0	consequence	143	0.019458190393283958	0.08333333333333333	0.2334982847194075	10	0.034722222222222224	288
prefill	0	consequence	57	0.018767217193939773	0.1284722222222222	0.14607996086093664	7	0.024305555555555556	288
prefill	0	consequence	84	0.018111226144910467	0.08680555555555555	0.2086413251893686	11	0.03819444444444445	288
prefill	0	consequence	188	0.01770062263766133	0.13541666666666666	0.1307122902473452	10	0.034722222222222224	288
prefill	0	consequence	144	0.016529266767730852	0.0798611111111111	0.2069751664828907	14	0.04861111111111111	288
prefill	0	consequence	182	0.016500725096912194	0.1701388888888889	0.09698385363083085	0	0.0	288
prefill	0	consequence	79	0.016078045289992262	0.08333333333333333	0.19293654347990716	11	0.03819444444444445	288
prefill	0	neutral	189	0.03468090439057693	0.21052631578947367	0.16473429585524044	37	0.12982456140350876	285
prefill	0	neutral	238	0.030286284998350173	0.26666666666666666	0.11357356874381315	4	0.014035087719298246	285
prefill	0	neutral	236	0.024542387075166056	0.11578947368421053	0.21195697928552504	16	0.056140350877192984	285
prefill	0	neutral	30	0.0232510064697688	0.21052631578947367	0.11044228073140182	1	0.0035087719298245615	285
prefill	0	neutral	81	0.0202817787713065	0.11228070175438597	0.18063459218194852	14	0.04912280701754386	285
prefill	0	neutral	143	0.01977553028003463	0.08771929824561403	0.2254410451923948	7	0.02456140350877193	285
prefill	0	neutral	136	0.01936922380298319	0.06666666666666667	0.29053835704474784	15	0.05263157894736842	285
prefill	0	neutral	134	0.01891963409455777	0.09824561403508772	0.19257484703389158	16	0.056140350877192984	285
prefill	0	neutral	122	0.018072148247996953	0.11929824561403508	0.15148712501997447	2	0.007017543859649123	285
prefill	0	neutral	182	0.016821493515129772	0.17894736842105263	0.09400246376101931	0	0.0	285
prefill	0	neutral	79	0.01652780215016197	0.08771929824561403	0.18841694451184648	11	0.03859649122807018	285
prefill	0	neutral	188	0.01610474424126943	0.11228070175438597	0.14343287839880584	12	0.042105263157894736	285
prefill	1	finance_consequence	205	0.05369325096360397	0.4752475247524752	0.11297954890258337	3	0.0297029702970297	101
prefill	1	finance_consequence	233	0.051743615267829536	0.4158415841584158	0.12443107481073294	2	0.019801980198019802	101
prefill	1	finance_consequence	33	0.049847159089612667	0.3564356435643564	0.13984897411252442	9	0.0891089108910891	101
prefill	1	finance_consequence	82	0.04715541522688103	0.1485148514851485	0.3175131291943323	8	0.07920792079207921	101
prefill	1	finance_consequence	224	0.037239003115639956	0.26732673267326734	0.13930145609924574	4	0.039603960396039604	101
prefill	1	finance_consequence	214	0.03429605423772294	0.15841584158415842	0.21649384237562605	7	0.06930693069306931	101
prefill	1	finance_consequence	118	0.03129738205347657	0.3069306930693069	0.1019688899161656	0	0.0	101
prefill	1	finance_consequence	112	0.029556919820525353	0.18811881188118812	0.15711836325647688	8	0.07920792079207921	101
prefill	1	finance_consequence	24	0.022236552033370664	0.18811881188118812	0.118204829230023	2	0.019801980198019802	101
prefill	1	finance_consequence	254	0.019029336500023558	0.10891089108910891	0.17472390786385267	5	0.04950495049504951	101
prefill	1	finance_consequence	108	0.01829822847560525	0.09900990099009901	0.184812107603613	4	0.039603960396039604	101
prefill	1	finance_consequence	111	0.017910784968019944	0.10891089108910891	0.1644535710700013	2	0.019801980198019802	101
prefill	1	finance_neutral	233	0.04809280751944648	0.37755102040816324	0.1273809496461015	4	0.04081632653061224	98
prefill	1	finance_neutral	82	0.04544421782875997	0.15306122448979592	0.2969022231478985	8	0.08163265306122448	98
prefill	1	finance_neutral	224	0.036409066006732244	0.2653061224489796	0.13723417187152923	4	0.04081632653061224	98
prefill	1	finance_neutral	214	0.035310162061356225	0.16326530612244897	0.2162747426258069	7	0.07142857142857142	98
prefill	1	finance_neutral	205	0.03523089677256199	0.3163265306122449	0.1113750930229379	2	0.02040816326530612	98
prefill	1	finance_neutral	33	0.03376340399009577	0.2653061224489796	0.1272620611934379	5	0.05102040816326531	98
prefill	1	finance_neutral	118	0.028114306304425525	0.24489795918367346	0.11480008407640423	1	0.01020408163265306	98
prefill	1	finance_neutral	112	0.025983532367886898	0.16326530612244897	0.15914913575330727	7	0.07142857142857142	98
prefill	1	finance_neutral	254	0.025167283379046137	0.14285714285714285	0.17617098365332295	6	0.061224489795918366	98
prefill	1	finance_neutral	24	0.020630804212400603	0.16326530612244897	0.1263636758009537	2	0.02040816326530612	98
prefill	1	finance_neutral	108	0.01818740257827041	0.10204081632653061	0.17823654526705002	4	0.04081632653061224	98
prefill	1	finance_neutral	94	0.01688759423993995	0.14285714285714285	0.11821315967957964	2	0.02040816326530612	98
prefill	1	nonfinance_consequence	82	0.052607471394512446	0.1657754010695187	0.31734184357334927	20	0.10695187165775401	187
prefill	1	nonfinance_consequence	233	0.047559785623153765	0.39037433155080214	0.12183123166479115	0	0.0	187
prefill	1	nonfinance_consequence	205	0.04669689849721906	0.43315508021390375	0.10780641998740696	2	0.0106951871657754	187
prefill	1	nonfinance_consequence	33	0.04326566103643411	0.35294117647058826	0.12258603960322997	9	0.0481283422459893	187
prefill	1	nonfinance_consequence	118	0.03976290672360262	0.3315508021390374	0.11993005737602727	9	0.0481283422459893	187
prefill	1	nonfinance_consequence	224	0.0382854927012122	0.2994652406417112	0.12784619884154788	5	0.026737967914438502	187
prefill	1	nonfinance_consequence	214	0.03727467053717893	0.1711229946524064	0.2178238559516394	16	0.0855614973262032	187
prefill	1	nonfinance_consequence	112	0.03223954392088247	0.20320855614973263	0.15865249245276372	19	0.10160427807486631	187
prefill	1	nonfinance_consequence	24	0.0241221583617298	0.20320855614973263	0.11870641088535454	4	0.0213903743315508	187
prefill	1	nonfinance_consequence	16	0.02038947557026079	0.13903743315508021	0.14664738198610647	3	0.016042780748663103	187
prefill	1	nonfinance_consequence	108	0.01963312409826805	0.10695187165775401	0.18356971031880626	8	0.0427807486631016	187
prefill	1	nonfinance_consequence	120	0.019555654587966688	0.13368983957219252	0.14627629631799083	0	0.0	187
prefill	1	nonfinance_neutral	82	0.04762685465371057	0.15508021390374332	0.3071110972497888	20	0.10695187165775401	187
prefill	1	nonfinance_neutral	233	0.04734043740562174	0.3850267379679144	0.12295363603960091	2	0.0106951871657754	187
prefill	1	nonfinance_neutral	214	0.0379378306242003	0.1711229946524064	0.22169919771017052	14	0.0748663101604278	187
prefill	1	nonfinance_neutral	224	0.03758339776828796	0.27807486631016043	0.13515568043595863	9	0.0481283422459893	187
prefill	1	nonfinance_neutral	33	0.03523529561989927	0.2994652406417112	0.11766071930216365	7	0.0374331550802139	187
prefill	1	nonfinance_neutral	205	0.03389750906465589	0.3155080213903743	0.10743786771340089	1	0.0053475935828877	187
prefill	1	nonfinance_neutral	118	0.028967397492743702	0.25133689839572193	0.11525326236474621	6	0.03208556149732621	187
prefill	1	nonfinance_neutral	112	0.028170207949119654	0.18716577540106952	0.150509396756725	15	0.08021390374331551	187
prefill	1	nonfinance_neutral	24	0.02178826465457105	0.1711229946524064	0.12732517157514958	4	0.0213903743315508	187
prefill	1	nonfinance_neutral	108	0.019143339932992512	0.10695187165775401	0.17899022837348	8	0.0427807486631016	187
prefill	1	nonfinance_neutral	94	0.01849673450688479	0.1443850267379679	0.12810701306620206	4	0.0213903743315508	187
prefill	1	nonfinance_neutral	254	0.01816186629434712	0.10695187165775401	0.16981344985214555	4	0.0213903743315508	187
prefill	1	finance	233	0.04994573004500772	0.3969849246231156	0.1258126617589435	6	0.03015075376884422	199
prefill	1	finance	82	0.04631271500067067	0.1507537688442211	0.30720767617111544	16	0.08040201005025126	199
prefill	1	finance	205	0.04460123734188479	0.3969849246231156	0.11234995229158322	5	0.02512562814070352	199
prefill	1	finance	33	0.0419265158747752	0.31155778894472363	0.13457059127548815	14	0.07035175879396985	199
prefill	1	finance	224	0.03683029036853968	0.2663316582914573	0.13828731666678107	8	0.04020100502512563	199
prefill	1	finance	214	0.034795464120718225	0.16080402010050251	0.21638429250071645	14	0.07035175879396985	199
prefill	1	finance	118	0.029729837212235353	0.27638190954773867	0.1075679564588152	1	0.005025125628140704	199
prefill	1	finance	112	0.027797161175507422	0.17587939698492464	0.15804671639788503	15	0.07537688442211055	199
prefill	1	finance	254	0.02205204400828593	0.12562814070351758	0.17553427030595603	11	0.05527638190954774	199
prefill	1	finance	24	0.02144578174967687	0.17587939698492464	0.12193458766244848	4	0.020100502512562814	199
prefill	1	finance	108	0.018243650898023274	0.10050251256281408	0.18152432643533156	8	0.04020100502512563	199
prefill	1	finance	94	0.01638347803356495	0.1407035175879397	0.11643971888140803	4	0.020100502512562814	199
prefill	1	nonfinance	82	0.050117163024111504	0.16042780748663102	0.31239698285029505	40	0.10695187165775401	374
prefill	1	nonfinance	233	0.04745011151438774	0.3877005347593583	0.12238856349228286	2	0.0053475935828877	374
prefill	1	nonfinance	205	0.04029720378093749	0.37433155080213903	0.10765110152907587	3	0.008021390374331552	374
prefill	1	nonfinance	33	0.039250478328166666	0.32620320855614976	0.12032523684208468	16	0.0427807486631016	374
