run	track	layer	rank	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
baseline	prefill	9	12	133	0.004563911831958479	0.005737118662304292	0.043478260869565216	0.0011732068303458136	0.012422360248447204	161	161
baseline	prefill	9	13	26	0.004506823800759219	0.004506823800759219	0.037267080745341616	0.0	0.0	161	161
baseline	prefill	9	14	193	0.00406057430357459	0.00406057430357459	0.037267080745341616	0.0	0.0	161	161
baseline	prefill	9	15	67	0.003762978128076949	0.007480776644906495	0.08074534161490683	0.003717798516829546	0.043478260869565216	161	161
baseline	prefill	10	1	36	0.022352542699554948	0.02626374812027231	0.11180124223602485	0.003911205420717362	0.031055900621118012	161	161
baseline	prefill	10	2	95	0.014155038647211052	0.0158178856505893	0.11180124223602485	0.0016628470033782491	0.012422360248447204	161	161
baseline	prefill	10	3	120	0.011479284805037931	0.022036665894829464	0.14285714285714285	0.010557381089791533	0.049689440993788817	161	161
baseline	prefill	10	4	74	0.01050769383846899	0.015023263437676494	0.12422360248447205	0.0045155695992075045	0.037267080745341616	161	161
baseline	prefill	10	5	85	0.006959987696355318	0.011682000938356652	0.08074534161490683	0.0047220132420013345	0.037267080745341616	161	161
baseline	prefill	10	6	46	0.0065253605220815525	0.009744910256571603	0.055900621118012424	0.003219549734490051	0.018633540372670808	161	161
baseline	prefill	10	7	140	0.0062556735748128325	0.008772828724322387	0.062111801242236024	0.0025171551495095537	0.018633540372670808	161	161
baseline	prefill	10	8	65	0.005500514667609174	0.0469958964023365	0.34782608695652173	0.041495381734727325	0.3105590062111801	161	161
baseline	prefill	10	9	80	0.005222226645271208	0.005939566788896294	0.055900621118012424	0.0007173401436250857	0.006211180124223602	161	161
baseline	prefill	10	10	25	0.005067658727741536	0.021757808590076262	0.2360248447204969	0.016690149862334726	0.16149068322981366	161	161
baseline	prefill	10	11	1	0.005012190558961432	0.005881405537933757	0.055900621118012424	0.000869214978972324	0.012422360248447204	161	161
baseline	prefill	10	12	70	0.0038512879726396824	0.009272876346616886	0.09316770186335403	0.005421588373977203	0.049689440993788817	161	161
baseline	prefill	10	13	207	0.003343430232048716	0.003868318313323877	0.031055900621118012	0.0005248880812751612	0.006211180124223602	161	161
baseline	prefill	10	14	35	0.003036993609726256	0.00512047928598986	0.07453416149068323	0.002083485676263604	0.031055900621118012	161	161
baseline	prefill	10	15	201	0.0030250820073225645	0.004527572556211167	0.037267080745341616	0.0015024905488886027	0.018633540372670808	161	161
baseline	prefill	11	1	89	0.013565547337846616	0.0652832486605831	0.39751552795031053	0.05171770132273649	0.30434782608695654	161	161
baseline	prefill	11	2	229	0.011296855024587047	0.01323278037348325	0.11180124223602485	0.001935925348896203	0.018633540372670808	161	161
baseline	prefill	11	3	208	0.010747864601619896	0.019722909520656574	0.16149068322981366	0.008975044919036678	0.07453416149068323	161	161
baseline	prefill	11	4	255	0.009865245048638742	0.023109041945832926	0.17391304347826086	0.013243796897194184	0.11801242236024845	161	161
baseline	prefill	11	5	43	0.00951503998813321	0.015202004847252376	0.12422360248447205	0.0056869648591191665	0.043478260869565216	161	161
baseline	prefill	11	6	153	0.008697209782991096	0.011278242845919413	0.062111801242236024	0.002581033062928317	0.012422360248447204	161	161
baseline	prefill	11	7	225	0.008371259238510849	0.012558273670710496	0.13664596273291926	0.004187014432199648	0.055900621118012424	161	161
baseline	prefill	11	8	127	0.008081912855556143	0.011365587293766688	0.06832298136645963	0.003283674438210545	0.031055900621118012	161	161
baseline	prefill	11	9	26	0.006403180216852001	0.008211952644099388	0.08074534161490683	0.0018087724272473865	0.018633540372670808	161	161
baseline	prefill	11	10	188	0.006057938225542207	0.006057938225542207	0.049689440993788817	0.0	0.0	161	161
baseline	prefill	11	11	207	0.0058424849068198685	0.011636044870278495	0.07453416149068323	0.0057935599634586265	0.062111801242236024	161	161
baseline	prefill	11	12	149	0.005122426820650379	0.008399317229110286	0.08695652173913043	0.003276890408459908	0.049689440993788817	161	161
baseline	prefill	11	13	191	0.004736702510845063	0.01741795141189597	0.12422360248447205	0.012681248901050907	0.08074534161490683	161	161
baseline	prefill	11	14	99	0.004699505082862172	0.016434631786500266	0.16149068322981366	0.011735126703638094	0.12422360248447205	161	161
baseline	prefill	11	15	125	0.003990227097408461	0.007344378420566053	0.08074534161490683	0.0033541513231575915	0.043478260869565216	161	161
baseline	prefill	12	1	248	0.02424893870638671	0.03325608592624662	0.18012422360248448	0.009007147219859908	0.043478260869565216	161	161
baseline	prefill	12	2	101	0.015355251305470663	0.03590099060365965	0.22981366459627328	0.020545739298188988	0.12422360248447205	161	161
baseline	prefill	12	3	85	0.01402261281032379	0.018450999155585034	0.11180124223602485	0.004428386345261244	0.037267080745341616	161	161
baseline	prefill	12	4	223	0.011138577997914973	0.032342408560698074	0.3167701863354037	0.0212038305627831	0.21739130434782608	161	161
baseline	prefill	12	5	110	0.006394475104557596	0.010360554231928965	0.08074534161490683	0.003966079127371369	0.037267080745341616	161	161
baseline	prefill	12	6	39	0.006331543891544576	0.023335735606595395	0.20496894409937888	0.01700419171505082	0.18633540372670807	161	161
baseline	prefill	12	7	133	0.006299605894311174	0.010037503264289269	0.09316770186335403	0.0037378973699780946	0.043478260869565216	161	161
baseline	prefill	12	8	69	0.0062968358163623	0.0062968358163623	0.049689440993788817	0.0	0.0	161	161
baseline	prefill	12	9	201	0.0049777796368249685	0.0049777796368249685	0.049689440993788817	0.0	0.0	161	161
baseline	prefill	12	10	227	0.004918229552862263	0.022004253803012012	0.17391304347826086	0.01708602425014975	0.15527950310559005	161	161
