layer	track	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
1	generation_clean	B_professional_or_descriptive	217	0.008406767257277134	0.045572916666666664	0.18446849295968112	10	0.013020833333333334	768
1	generation_clean	B_professional_or_descriptive	187	0.008377748331995028	0.041666666666666664	0.20106595996788068	8	0.010416666666666666	768
1	generation_clean	B_professional_or_descriptive	236	0.00836421183191707	0.052083333333333336	0.16059286717280774	13	0.016927083333333332	768
1	generation_clean	B_professional_or_descriptive	171	0.008192839411565506	0.052083333333333336	0.15730251670205772	7	0.009114583333333334	768
1	generation_clean	ALL	254	0.013475010972451351	0.08580343213728549	0.15704512787893302	31	0.02418096723868955	1282
1	generation_clean	ALL	242	0.01240186443450744	0.05850234009360374	0.2119892027338472	38	0.029641185647425898	1282
1	generation_clean	ALL	153	0.01171423062636239	0.07254290171606864	0.16148003938706004	26	0.0202808112324493	1282
1	generation_clean	ALL	155	0.011202777045116533	0.0811232449297972	0.1380957708830711	13	0.01014040561622465	1282
1	generation_clean	ALL	182	0.01110722729818487	0.056162246489859596	0.19777035272601393	30	0.0234009360374415	1282
1	generation_clean	ALL	60	0.010102295026321118	0.05382215288611544	0.18769771338758948	25	0.01950078003120125	1282
1	generation_clean	ALL	11	0.009445092760670173	0.078003120124805	0.12108608919179162	8	0.0062402496099844	1282
1	generation_clean	ALL	198	0.009209448149601722	0.06396255850234009	0.14398186009499278	22	0.0171606864274571	1282
1	generation_clean	ALL	34	0.00920044720084641	0.046801872074883	0.19658288852475161	30	0.0234009360374415	1282
1	generation_clean	ALL	44	0.009158973310972828	0.054602184087363496	0.16774005406667378	21	0.01638065522620905	1282
1	generation_clean	ALL	185	0.008597002766040097	0.05226209048361934	0.16449787382184186	12	0.0093603744149766	1282
1	generation_clean	ALL	230	0.008365156654809677	0.046801872074883	0.17873551385776676	22	0.0171606864274571	1282
1	generation_clean	ALL	236	0.00833892396011393	0.05070202808112324	0.16446923872101626	24	0.0187207488299532	1282
1	generation_clean	ALL	29	0.008282622425836298	0.06162246489859594	0.1344091386066093	16	0.0124804992199688	1282
1	generation_clean	ALL	245	0.008268825316048466	0.07020280811232449	0.11778482283526816	7	0.00546021840873635	1282
1	generation_clean	ALL	101	0.008229546797516927	0.06630265210608424	0.12412092934607882	7	0.00546021840873635	1282
1	generation_clean	ALL	62	0.008062329983075102	0.0530421216848674	0.15199863291621002	19	0.014820592823712949	1282
1	generation_clean	ALL	144	0.007942370358430649	0.060842433697347896	0.1305399846090781	10	0.0078003120124804995	1282
1	generation_clean	ALL	217	0.007851827261568571	0.0452418096723869	0.1735524577470846	14	0.0109204368174727	1282
1	generation_clean	ALL	32	0.0077644288358495305	0.04914196567862714	0.15799996456443013	10	0.0078003120124804995	1282
