track	layer	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	1	1	135	0.006878556449626124	0.01045090557633497	0.06420233463035019	0.1627807717041265	0.003572349126708846	0.024739583333333332	0.14439811206907335	514	768
generation_clean	1	2	133	0.006046354412735945	0.009111939937417851	0.048638132295719845	0.18734148511331103	0.003065585524681907	0.024739583333333332	0.12391419383977392	514	768
generation_clean	1	3	153	0.005702286068994589	0.015130264714496428	0.08754863813229571	0.17282124585002587	0.00942797864550184	0.0625	0.15084765832802943	514	768
generation_clean	1	4	221	0.005174535553122415	0.008535092282097924	0.07003891050583658	0.12186215091662037	0.0033605567289755086	0.029947916666666668	0.11221337251535611	514	768
generation_clean	1	5	232	0.005013439329289308	0.00744633715109055	0.06420233463035019	0.11598234229274372	0.0024328978218012415	0.0234375	0.10380364039685297	514	768
generation_clean	1	6	111	0.004998024700087229	0.009791936187128716	0.054474708171206226	0.17975197143514857	0.0047939114870414875	0.03125	0.1534051675853276	514	768
generation_clean	1	7	134	0.004760490540451693	0.007032903337993048	0.054474708171206226	0.12910401127601523	0.002272412797541355	0.022135416666666668	0.10265958991245651	514	768
generation_clean	1	8	98	0.0045667192888944825	0.00861113110844794	0.058365758754863814	0.1475373796580747	0.004044411819553457	0.033854166666666664	0.11946570297757904	514	768
generation_clean	1	9	65	0.004551330624312311	0.007166926826807211	0.042801556420233464	0.16744547222631392	0.0026155962024948993	0.024739583333333332	0.10572515176400435	514	768
generation_clean	1	10	198	0.004265827859687098	0.011764951890818323	0.07198443579766536	0.16343743978055725	0.007499124031131225	0.05859375	0.12798505013130623	514	768
generation_clean	1	11	242	0.003889432446540898	0.014731883248035841	0.06809338521400778	0.21634822827115494	0.010842450801494943	0.052083333333333336	0.2081750553887029	514	768
generation_clean	1	12	157	0.0038630317527951668	0.008305236382627852	0.06614785992217899	0.12555563237266812	0.004442204629832685	0.03125	0.14215054815464592	514	768
